Dataset_Label,Raw_Value
MODERATE,0
MODERATE,0
MODERATE,0
MODERATE,0
MODERATE,0
MODERATE,0
MODERATE,0
MODERATE,0
MODERATE,0
MODERATE,0
MODERATE,0
MODERATE,0
MODERATE,0
MODERATE,0
MODERATE,0
MODERATE,0
MODERATE,0
MODERATE,0
MODERATE,0
MODERATE,0
MODERATE,0
MODERATE,0
MODERATE,0
MODERATE,0
MODERATE,0
MODERATE,0
MODERATE,0
MODERATE,0
MODERATE,0
MODERATE,0
MODERATE,0
MODERATE,0
MODERATE,0
MODERATE,0
MODERATE,0
MODERATE,208
MODERATE,326
MODERATE,0
MODERATE,461
MODERATE,64
MODERATE,0
MODERATE,529
MODERATE,3
MODERATE,0
MODERATE,596
MODERATE,0
MODERATE,166
MODERATE,507
MODERATE,0
MODERATE,572
MODERATE,94
MODERATE,0
MODERATE,597
MODERATE,0
MODERATE,316
MODERATE,268
MODERATE,0
MODERATE,589
MODERATE,0
MODERATE,449
MODERATE,121
MODERATE,0
MODERATE,576
MODERATE,0
MODERATE,612
MODERATE,24
MODERATE,0
MODERATE,550
MODERATE,0
MODERATE,631
MODERATE,60
MODERATE,0
MODERATE,591
MODERATE,0
MODERATE,304
MODERATE,484
MODERATE,0
MODERATE,508
MODERATE,351
MODERATE,0
MODERATE,484
MODERATE,490
MODERATE,0
MODERATE,134
MODERATE,592
MODERATE,32
MODERATE,0
MODERATE,570
MODERATE,508
MODERATE,0
MODERATE,0
MODERATE,613
MODERATE,141
MODERATE,1
MODERATE,418
MODERATE,545
MODERATE,2
MODERATE,0
MODERATE,613
MODERATE,151
MODERATE,9
MODERATE,316
MODERATE,574
MODERATE,43
MODERATE,0
MODERATE,547
MODERATE,513
MODERATE,13
MODERATE,0
MODERATE,602
MODERATE,328
MODERATE,18
MODERATE,0
MODERATE,582
MODERATE,209
MODERATE,20
MODERATE,19
MODERATE,586
MODERATE,260
MODERATE,25
MODERATE,0
MODERATE,582
MODERATE,383
MODERATE,27
MODERATE,0
MODERATE,561
MODERATE,530
MODERATE,51
MODERATE,4
MODERATE,386
MODERATE,559
MODERATE,140
MODERATE,38
MODERATE,72
MODERATE,572
MODERATE,299
MODERATE,42
MODERATE,0
MODERATE,571
MODERATE,473
MODERATE,44
MODERATE,0
MODERATE,544
MODERATE,505
MODERATE,47
MODERATE,0
MODERATE,565
MODERATE,435
MODERATE,47
MODERATE,0
MODERATE,566
MODERATE,277
