Dataset_Label,Raw_Value
SEVERE,0
SEVERE,0
SEVERE,0
SEVERE,0
SEVERE,0
SEVERE,101
SEVERE,0
SEVERE,111
SEVERE,0
SEVERE,0
SEVERE,0
SEVERE,0
SEVERE,10
SEVERE,0
SEVERE,207
SEVERE,0
SEVERE,170
SEVERE,0
SEVERE,108
SEVERE,0
SEVERE,0
SEVERE,223
SEVERE,0
SEVERE,223
SEVERE,0
SEVERE,164
SEVERE,6
SEVERE,0
SEVERE,254
SEVERE,0
SEVERE,265
SEVERE,2
SEVERE,262
SEVERE,1
SEVERE,0
SEVERE,278
SEVERE,5
SEVERE,302
SEVERE,0
SEVERE,171
SEVERE,76
SEVERE,0
SEVERE,332
SEVERE,8
SEVERE,293
SEVERE,96
SEVERE,0
SEVERE,327
SEVERE,10
SEVERE,278
SEVERE,107
SEVERE,0
SEVERE,344
SEVERE,24
SEVERE,120
SEVERE,317
SEVERE,32
SEVERE,351
SEVERE,60
SEVERE,0
SEVERE,348
SEVERE,27
SEVERE,273
SEVERE,156
SEVERE,0
SEVERE,362
SEVERE,34
SEVERE,155
SEVERE,310
SEVERE,28
SEVERE,362
SEVERE,46
SEVERE,0
SEVERE,367
SEVERE,36
SEVERE,301
SEVERE,208
SEVERE,19
SEVERE,370
SEVERE,65
SEVERE,0
SEVERE,379
SEVERE,37
SEVERE,186
SEVERE,313
SEVERE,30
SEVERE,374
SEVERE,37
SEVERE,146
SEVERE,260
SEVERE,0
SEVERE,380
SEVERE,38
SEVERE,371
SEVERE,44
SEVERE,210
SEVERE,118
SEVERE,0
SEVERE,262
SEVERE,0
SEVERE,389
SEVERE,13
SEVERE,379
SEVERE,40
SEVERE,377
SEVERE,38
SEVERE,378
SEVERE,38
SEVERE,372
SEVERE,39
SEVERE,373
SEVERE,45
SEVERE,361
SEVERE,38
SEVERE,328
SEVERE,49
SEVERE,263
SEVERE,67
SEVERE,246
SEVERE,67
SEVERE,267
SEVERE,68
SEVERE,266
SEVERE,64
SEVERE,244
SEVERE,71
SEVERE,231
SEVERE,80
SEVERE,204
SEVERE,91
SEVERE,154
SEVERE,128
SEVERE,53
SEVERE,193
SEVERE,0
SEVERE,319
SEVERE,0
SEVERE,384
SEVERE,14
SEVERE,379
SEVERE,35
SEVERE,378
SEVERE,43
SEVERE,378
SEVERE,42
SEVERE,377
SEVERE,47
SEVERE,366
SEVERE,43
SEVERE,290
SEVERE,88
SEVERE,101
SEVERE,200
SEVERE,0
SEVERE,387
SEVERE,16
SEVERE,380
SEVERE,43
SEVERE,377
SEVERE,45
SEVERE,364
SEVERE,52
SEVERE,250
SEVERE,113
SEVERE,32
SEVERE,265
SEVERE,0
SEVERE,384
SEVERE,18
SEVERE,378
SEVERE,44
SEVERE,376
SEVERE,47
SEVERE,365
SEVERE,56
SEVERE,334
SEVERE,61
SEVERE,229
SEVERE,108
SEVERE,95
SEVERE,164
SEVERE,0
SEVERE,285
SEVERE,0
SEVERE,391
SEVERE,0
SEVERE,378
SEVERE,21
SEVERE,378
SEVERE,42
SEVERE,374
SEVERE,45
SEVERE,375
SEVERE,44
SEVERE,370
SEVERE,48
SEVERE,361
SEVERE,60
SEVERE,322
SEVERE,70
SEVERE,190
SEVERE,118
SEVERE,32
SEVERE,241
SEVERE,0
SEVERE,390
SEVERE,0
SEVERE,380
SEVERE,35
SEVERE,375
SEVERE,46
SEVERE,373
SEVERE,50
SEVERE,368
SEVERE,51
SEVERE,354
SEVERE,43
SEVERE,312
SEVERE,54
SEVERE,245
SEVERE,89
SEVERE,142
SEVERE,140
SEVERE,18
SEVERE,213
SEVERE,0
SEVERE,326
SEVERE,0
SEVERE,385
SEVERE,11
SEVERE,377
SEVERE,40
SEVERE,371
SEVERE,48
SEVERE,369
SEVERE,48
SEVERE,337
SEVERE,65
SEVERE,191
SEVERE,122
SEVERE,2
SEVERE,243
SEVERE,0
SEVERE,328
SEVERE,0
SEVERE,377
SEVERE,0
SEVERE,384
SEVERE,0
SEVERE,366
SEVERE,13
SEVERE,375
SEVERE,16
SEVERE,375
SEVERE,24
SEVERE,368
SEVERE,36
SEVERE,370
SEVERE,41
SEVERE,369
SEVERE,42
SEVERE,368
SEVERE,41
SEVERE,359
SEVERE,38
SEVERE,370
SEVERE,43
SEVERE,368
SEVERE,42
SEVERE,369
SEVERE,38
SEVERE,370
SEVERE,33
SEVERE,371
SEVERE,35
SEVERE,368
SEVERE,44
SEVERE,367
SEVERE,43
SEVERE,368
SEVERE,41
SEVERE,368
SEVERE,42
SEVERE,368
SEVERE,42
SEVERE,371
SEVERE,44
SEVERE,358
SEVERE,42
SEVERE,368
SEVERE,43
SEVERE,366
SEVERE,41
SEVERE,368
SEVERE,45
SEVERE,367
SEVERE,48
SEVERE,366
SEVERE,41
SEVERE,364
SEVERE,48
SEVERE,366
SEVERE,46
SEVERE,366
SEVERE,43
SEVERE,365
SEVERE,45
SEVERE,364
SEVERE,46
SEVERE,363
SEVERE,45
SEVERE,364
SEVERE,44
SEVERE,365
SEVERE,40
SEVERE,364
SEVERE,37
SEVERE,367
SEVERE,24
SEVERE,369
SEVERE,18
SEVERE,368
SEVERE,18
SEVERE,367
SEVERE,17
SEVERE,369
SEVERE,19
SEVERE,370
SEVERE,20
SEVERE,368
SEVERE,11
SEVERE,368
SEVERE,0
SEVERE,375
SEVERE,0
SEVERE,374
SEVERE,0
SEVERE,328
SEVERE,0
SEVERE,256
SEVERE,0
SEVERE,163
SEVERE,56
SEVERE,111
SEVERE,144
SEVERE,81
SEVERE,217
SEVERE,67
SEVERE,311
SEVERE,43
SEVERE,340
SEVERE,54
SEVERE,353
SEVERE,47
SEVERE,356
SEVERE,46
SEVERE,356
SEVERE,46
SEVERE,360
SEVERE,42
SEVERE,362
SEVERE,15
SEVERE,367
SEVERE,0
SEVERE,351
SEVERE,0
SEVERE,263
SEVERE,0
SEVERE,197
SEVERE,12
SEVERE,141
SEVERE,76
SEVERE,115
SEVERE,170
SEVERE,80
SEVERE,250
SEVERE,52
SEVERE,325
SEVERE,63
SEVERE,343
SEVERE,46
SEVERE,349
SEVERE,49
SEVERE,353
SEVERE,47
SEVERE,355
SEVERE,49
SEVERE,356
SEVERE,43
SEVERE,356
SEVERE,29
SEVERE,363
SEVERE,10
SEVERE,363
SEVERE,0
SEVERE,353
SEVERE,0
SEVERE,262
SEVERE,0
SEVERE,175
SEVERE,32
SEVERE,118
SEVERE,109
SEVERE,87
SEVERE,214
SEVERE,53
SEVERE,316
SEVERE,56
SEVERE,352
SEVERE,50
SEVERE,358
SEVERE,46
SEVERE,357
SEVERE,7
SEVERE,374
SEVERE,0
SEVERE,223
SEVERE,18
SEVERE,100
SEVERE,187
SEVERE,52
SEVERE,309
SEVERE,54
SEVERE,341
SEVERE,47
SEVERE,350
SEVERE,47
SEVERE,353
SEVERE,12
SEVERE,370
SEVERE,0
SEVERE,247
SEVERE,9
SEVERE,104
SEVERE,196
SEVERE,48
SEVERE,333
SEVERE,49
SEVERE,349
SEVERE,48
SEVERE,353
SEVERE,26
SEVERE,359
SEVERE,0
SEVERE,354
SEVERE,0
SEVERE,222
SEVERE,2
SEVERE,118
SEVERE,138
SEVERE,84
SEVERE,213
SEVERE,67
SEVERE,217
SEVERE,70
SEVERE,231
SEVERE,70
SEVERE,254
SEVERE,61
SEVERE,276
SEVERE,48
SEVERE,296
SEVERE,42
SEVERE,320
SEVERE,57
SEVERE,332
SEVERE,50
SEVERE,336
SEVERE,51
SEVERE,338
SEVERE,54
SEVERE,333
SEVERE,44
SEVERE,310
SEVERE,51
SEVERE,249
SEVERE,80
SEVERE,174
SEVERE,101
SEVERE,62
SEVERE,152
SEVERE,0
SEVERE,247
SEVERE,0
SEVERE,346
SEVERE,0
SEVERE,359
SEVERE,25
SEVERE,349
SEVERE,52
SEVERE,344
SEVERE,46
SEVERE,339
SEVERE,61
SEVERE,285
SEVERE,70
SEVERE,138
SEVERE,122
SEVERE,0
SEVERE,246
SEVERE,0
SEVERE,369
SEVERE,0
SEVERE,356
SEVERE,21
SEVERE,351
SEVERE,46
SEVERE,351
SEVERE,48
SEVERE,344
SEVERE,46
SEVERE,336
SEVERE,48
SEVERE,311
SEVERE,50
SEVERE,213
SEVERE,83
SEVERE,115
SEVERE,122
SEVERE,36
SEVERE,176
SEVERE,0
SEVERE,258
SEVERE,0
SEVERE,361
SEVERE,0
SEVERE,358
SEVERE,16
SEVERE,354
SEVERE,44
SEVERE,347
SEVERE,49
SEVERE,347
SEVERE,49
SEVERE,342
SEVERE,49
SEVERE,340
SEVERE,52
SEVERE,328
SEVERE,42
SEVERE,289
SEVERE,59
SEVERE,183
SEVERE,101
SEVERE,50
SEVERE,190
SEVERE,0
SEVERE,339
SEVERE,0
SEVERE,356
SEVERE,27
SEVERE,350
SEVERE,49
SEVERE,343
SEVERE,49
SEVERE,340
SEVERE,49
SEVERE,337
SEVERE,50
SEVERE,331
SEVERE,39
SEVERE,312
SEVERE,44
SEVERE,271
SEVERE,57
SEVERE,231
SEVERE,95
SEVERE,158
SEVERE,112
SEVERE,93
SEVERE,123
SEVERE,19
SEVERE,160
SEVERE,0
SEVERE,188
SEVERE,0
SEVERE,231
SEVERE,0
SEVERE,293
SEVERE,0
SEVERE,367
SEVERE,0
SEVERE,353
SEVERE,27
SEVERE,347
SEVERE,47
SEVERE,340
SEVERE,49
SEVERE,339
SEVERE,52
SEVERE,334
SEVERE,54
SEVERE,326
SEVERE,46
SEVERE,266
SEVERE,85
SEVERE,169
SEVERE,102
SEVERE,35
SEVERE,181
SEVERE,0
SEVERE,305
SEVERE,0
SEVERE,358
SEVERE,14
SEVERE,344
SEVERE,51
SEVERE,339
SEVERE,50
SEVERE,329
SEVERE,54
SEVERE,294
SEVERE,65
SEVERE,165
SEVERE,106
SEVERE,3
SEVERE,253
SEVERE,0
SEVERE,355
SEVERE,28
SEVERE,341
SEVERE,49
SEVERE,334
SEVERE,58
SEVERE,294
SEVERE,68
SEVERE,145
SEVERE,136
SEVERE,0
SEVERE,228
SEVERE,0
SEVERE,351
SEVERE,0
SEVERE,353
SEVERE,25
SEVERE,349
SEVERE,48
SEVERE,343
SEVERE,50
SEVERE,338
SEVERE,51
SEVERE,328
SEVERE,50
SEVERE,329
SEVERE,57
SEVERE,323
SEVERE,48
SEVERE,266
SEVERE,74
SEVERE,199
SEVERE,80
SEVERE,132
SEVERE,112
SEVERE,56
SEVERE,151
SEVERE,0
SEVERE,194
SEVERE,0
SEVERE,244
SEVERE,0
SEVERE,264
SEVERE,0
SEVERE,261
SEVERE,0
SEVERE,276
SEVERE,0
SEVERE,286
SEVERE,0
SEVERE,283
SEVERE,0
SEVERE,274
SEVERE,0
SEVERE,259
SEVERE,0
SEVERE,244
SEVERE,0
SEVERE,230
SEVERE,0
SEVERE,233
SEVERE,0
SEVERE,251
SEVERE,0
SEVERE,296
SEVERE,0
SEVERE,352
SEVERE,0
SEVERE,366
SEVERE,0
SEVERE,382
SEVERE,0
SEVERE,362
SEVERE,0
SEVERE,361
SEVERE,0
SEVERE,353
SEVERE,5
SEVERE,350
SEVERE,14
SEVERE,347
SEVERE,20
SEVERE,363
SEVERE,29
SEVERE,347
SEVERE,31
SEVERE,346
SEVERE,32
SEVERE,356
SEVERE,33
SEVERE,345
