Dataset_Label,Raw_Value
SEVERE,271
SEVERE,20
SEVERE,0
SEVERE,0
SEVERE,245
SEVERE,22
SEVERE,0
SEVERE,88
SEVERE,201
SEVERE,0
SEVERE,0
SEVERE,249
SEVERE,95
SEVERE,0
SEVERE,134
SEVERE,293
SEVERE,0
SEVERE,0
SEVERE,306
SEVERE,0
SEVERE,0
SEVERE,328
SEVERE,0
SEVERE,0
SEVERE,314
SEVERE,0
SEVERE,0
SEVERE,331
SEVERE,0
SEVERE,0
SEVERE,325
SEVERE,0
SEVERE,0
SEVERE,335
SEVERE,0
SEVERE,0
SEVERE,352
SEVERE,0
SEVERE,0
SEVERE,368
SEVERE,0
SEVERE,0
SEVERE,378
SEVERE,0
SEVERE,0
SEVERE,382
SEVERE,0
SEVERE,34
SEVERE,376
SEVERE,1
SEVERE,214
SEVERE,320
SEVERE,14
SEVERE,394
SEVERE,83
SEVERE,0
SEVERE,391
SEVERE,1
SEVERE,181
SEVERE,281
SEVERE,9
SEVERE,400
SEVERE,4
SEVERE,146
SEVERE,266
SEVERE,1
SEVERE,393
SEVERE,9
SEVERE,246
SEVERE,206
SEVERE,0
SEVERE,397
SEVERE,5
SEVERE,148
SEVERE,340
SEVERE,20
SEVERE,405
SEVERE,43
SEVERE,0
SEVERE,388
SEVERE,15
SEVERE,274
SEVERE,248
SEVERE,16
SEVERE,401
SEVERE,75
SEVERE,0
SEVERE,393
SEVERE,54
SEVERE,0
SEVERE,390
SEVERE,87
SEVERE,1
SEVERE,394
SEVERE,184
SEVERE,24
SEVERE,291
SEVERE,370
SEVERE,17
SEVERE,115
SEVERE,384
SEVERE,16
SEVERE,72
SEVERE,385
SEVERE,17
SEVERE,148
SEVERE,379
SEVERE,19
SEVERE,278
SEVERE,310
SEVERE,25
SEVERE,384
SEVERE,142
SEVERE,3
SEVERE,405
SEVERE,61
SEVERE,0
SEVERE,397
SEVERE,14
SEVERE,72
SEVERE,383
SEVERE,21
SEVERE,314
SEVERE,226
SEVERE,14
SEVERE,408
SEVERE,58
SEVERE,0
SEVERE,397
SEVERE,17
SEVERE,157
SEVERE,378
SEVERE,26
SEVERE,369
SEVERE,181
SEVERE,13
SEVERE,409
SEVERE,104
SEVERE,0
SEVERE,408
SEVERE,84
SEVERE,0
SEVERE,408
SEVERE,102
SEVERE,9
SEVERE,409
SEVERE,165
SEVERE,26
SEVERE,321
SEVERE,383
SEVERE,17
SEVERE,0
SEVERE,407
SEVERE,118
SEVERE,28
SEVERE,165
SEVERE,402
SEVERE,101
