Dataset_Label,Raw_Value
MODERATE,141
MODERATE,0
MODERATE,0
MODERATE,379
MODERATE,57
MODERATE,8
MODERATE,247
MODERATE,371
MODERATE,0
MODERATE,0
MODERATE,369
MODERATE,335
MODERATE,5
MODERATE,0
MODERATE,380
MODERATE,139
MODERATE,10
MODERATE,0
MODERATE,412
MODERATE,79
MODERATE,22
MODERATE,209
MODERATE,427
MODERATE,29
MODERATE,12
MODERATE,369
MODERATE,429
MODERATE,18
MODERATE,0
MODERATE,410
MODERATE,430
MODERATE,28
MODERATE,0
MODERATE,426
MODERATE,434
MODERATE,26
MODERATE,0
MODERATE,439
MODERATE,436
MODERATE,30
MODERATE,0
MODERATE,443
MODERATE,432
MODERATE,26
MODERATE,0
MODERATE,456
MODERATE,385
MODERATE,27
MODERATE,0
MODERATE,472
MODERATE,148
MODERATE,40
MODERATE,262
MODERATE,457
MODERATE,35
MODERATE,0
MODERATE,477
MODERATE,170
MODERATE,39
MODERATE,276
MODERATE,461
MODERATE,36
MODERATE,0
MODERATE,483
MODERATE,148
MODERATE,32
MODERATE,349
MODERATE,463
MODERATE,38
MODERATE,0
MODERATE,486
MODERATE,146
MODERATE,35
MODERATE,299
MODERATE,470
MODERATE,45
MODERATE,0
MODERATE,481
MODERATE,313
MODERATE,41
MODERATE,128
MODERATE,479
MODERATE,46
MODERATE,0
MODERATE,482
MODERATE,49
MODERATE,0
MODERATE,481
MODERATE,40
MODERATE,248
MODERATE,378
MODERATE,28
MODERATE,493
MODERATE,59
MODERATE,97
MODERATE,383
MODERATE,19
MODERATE,490
MODERATE,42
MODERATE,462
MODERATE,96
MODERATE,69
MODERATE,364
MODERATE,10
MODERATE,490
MODERATE,43
MODERATE,379
MODERATE,189
MODERATE,0
MODERATE,490
MODERATE,47
MODERATE,225
MODERATE,396
MODERATE,40
MODERATE,478
MODERATE,168
MODERATE,5
MODERATE,496
MODERATE,95
MODERATE,0
MODERATE,490
MODERATE,84
MODERATE,0
MODERATE,494
MODERATE,99
MODERATE,0
MODERATE,497
MODERATE,128
MODERATE,2
MODERATE,497
MODERATE,136
MODERATE,0
MODERATE,497
MODERATE,108
MODERATE,0
MODERATE,495
MODERATE,58
MODERATE,166
MODERATE,462
MODERATE,49
MODERATE,485
MODERATE,125
MODERATE,0
MODERATE,493
MODERATE,47
MODERATE,353
MODERATE,271
MODERATE,17
MODERATE,500
MODERATE,54
MODERATE,116
MODERATE,469
MODERATE,46
MODERATE,498
MODERATE,106
MODERATE,0
MODERATE,486
MODERATE,50
MODERATE,487
MODERATE,128
MODERATE,0
MODERATE,490
MODERATE,49
MODERATE,463
MODERATE,165
MODERATE,0
MODERATE,498
MODERATE,52
MODERATE,281
MODERATE,349
MODERATE,29
MODERATE,502
MODERATE,90
MODERATE,0
MODERATE,495
MODERATE,48
MODERATE,285
MODERATE,414
MODERATE,47
MODERATE,475
MODERATE,195
MODERATE,20
MODERATE,504
MODERATE,121
MODERATE,0
MODERATE,503
MODERATE,68
MODERATE,0
MODERATE,500
MODERATE,54
MODERATE,0
MODERATE,502
MODERATE,51
MODERATE,0
MODERATE,504
MODERATE,68
MODERATE,0
MODERATE,505
MODERATE,122
MODERATE,0
MODERATE,506
MODERATE,198
MODERATE,36
MODERATE,449
MODERATE,378
MODERATE,50
MODERATE,296
MODERATE,484
MODERATE,50
MODERATE,163
MODERATE,493
MODERATE,51
MODERATE,72
MODERATE,498
MODERATE,61
MODERATE,11
MODERATE,501
MODERATE,58
MODERATE,8
MODERATE,502
MODERATE,51
MODERATE,101
MODERATE,490
MODERATE,49
MODERATE,245
MODERATE,474
MODERATE,52
MODERATE,428
MODERATE,281
MODERATE,24
MODERATE,508
MODERATE,96
MODERATE,0
MODERATE,492
MODERATE,50
MODERATE,456
MODERATE,180
MODERATE,0
MODERATE,506
MODERATE,50
MODERATE,373
MODERATE,229
MODERATE,0
MODERATE,507
MODERATE,52
MODERATE,331
MODERATE,282
MODERATE,18
MODERATE,510
MODERATE,64
MODERATE,11
MODERATE,494
MODERATE,50
MODERATE,355
MODERATE,355
MODERATE,40
MODERATE,500
MODERATE,165
MODERATE,3
MODERATE,512
MODERATE,106
MODERATE,0
MODERATE,510
MODERATE,84
MODERATE,0
MODERATE,509
MODERATE,68
MODERATE,0
MODERATE,508
MODERATE,105
MODERATE,6
MODERATE,502
MODERATE,366
MODERATE,51
MODERATE,0
MODERATE,512
MODERATE,201
MODERATE,49
MODERATE,36
MODERATE,517
MODERATE,239
MODERATE,51
MODERATE,0
MODERATE,513
MODERATE,333
MODERATE,50
MODERATE,0
MODERATE,500
MODERATE,491
MODERATE,69
MODERATE,24
MODERATE,246
MODERATE,508
MODERATE,242
MODERATE,50
MODERATE,0
MODERATE,435
MODERATE,507
MODERATE,161
MODERATE,51
MODERATE,0
MODERATE,483
MODERATE,501
MODERATE,119
MODERATE,49
MODERATE,114
MODERATE,513
MODERATE,240
MODERATE,48
MODERATE,0
MODERATE,515
MODERATE,263
MODERATE,52
MODERATE,0
MODERATE,516
MODERATE,292
MODERATE,50
MODERATE,0
MODERATE,518
MODERATE,327
MODERATE,49
MODERATE,0
MODERATE,513
MODERATE,471
MODERATE,54
MODERATE,0
MODERATE,409
MODERATE,508
