Dataset_Label,Raw_Value
MODERATE,273
MODERATE,40
MODERATE,0
MODERATE,174
MODERATE,263
MODERATE,0
MODERATE,0
MODERATE,258
MODERATE,0
MODERATE,0
MODERATE,257
MODERATE,12
MODERATE,0
MODERATE,315
MODERATE,46
MODERATE,5
MODERATE,277
MODERATE,58
MODERATE,3
MODERATE,317
MODERATE,35
MODERATE,0
MODERATE,327
MODERATE,0
MODERATE,0
MODERATE,322
MODERATE,1
MODERATE,228
MODERATE,172
MODERATE,8
MODERATE,360
MODERATE,33
MODERATE,0
MODERATE,354
MODERATE,3
MODERATE,72
MODERATE,352
MODERATE,11
MODERATE,259
MODERATE,245
MODERATE,19
MODERATE,372
MODERATE,90
MODERATE,0
MODERATE,369
MODERATE,2
MODERATE,89
MODERATE,353
MODERATE,23
MODERATE,386
MODERATE,62
MODERATE,0
MODERATE,371
MODERATE,18
MODERATE,352
MODERATE,105
MODERATE,0
MODERATE,380
MODERATE,15
MODERATE,316
MODERATE,130
MODERATE,0
MODERATE,390
MODERATE,16
MODERATE,1
MODERATE,375
MODERATE,17
MODERATE,168
MODERATE,376
MODERATE,18
MODERATE,184
MODERATE,379
MODERATE,15
MODERATE,70
MODERATE,385
MODERATE,15
MODERATE,0
MODERATE,395
MODERATE,87
MODERATE,13
MODERATE,377
MODERATE,321
MODERATE,20
MODERATE,79
MODERATE,392
MODERATE,27
MODERATE,0
MODERATE,405
MODERATE,129
MODERATE,22
MODERATE,342
MODERATE,353
MODERATE,20
MODERATE,151
MODERATE,386
MODERATE,18
MODERATE,3
MODERATE,393
MODERATE,14
MODERATE,0
MODERATE,392
MODERATE,11
MODERATE,36
MODERATE,388
MODERATE,18
MODERATE,224
MODERATE,326
MODERATE,26
MODERATE,391
MODERATE,130
MODERATE,11
MODERATE,408
MODERATE,48
MODERATE,0
MODERATE,401
MODERATE,17
MODERATE,123
MODERATE,387
MODERATE,29
MODERATE,385
MODERATE,121
MODERATE,0
MODERATE,405
MODERATE,20
MODERATE,258
MODERATE,189
MODERATE,0
MODERATE,405
MODERATE,19
MODERATE,364
MODERATE,99
MODERATE,0
MODERATE,388
MODERATE,28
MODERATE,414
MODERATE,60
MODERATE,0
MODERATE,393
MODERATE,21
MODERATE,319
MODERATE,229
MODERATE,19
MODERATE,414
MODERATE,106
MODERATE,0
MODERATE,416
MODERATE,81
MODERATE,0
MODERATE,415
MODERATE,113
MODERATE,15
MODERATE,397
MODERATE,276
MODERATE,24
MODERATE,165
MODERATE,396
MODERATE,18
MODERATE,0
MODERATE,415
MODERATE,128
MODERATE,21
MODERATE,318
MODERATE,390
MODERATE,19
MODERATE,46
